City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,georgetown,5.4112,100.3354,29.41,83,20,2.06,MY,1694136436
225,port lincoln,-34.7333,135.8667,12.27,49,72,8.55,AU,1694136589
226,gaspe,48.8334,-64.4819,18.12,100,75,2.06,CA,1694136499
227,tabou,4.423,-7.3528,23.89,93,70,2.55,CI,1694136589
228,nganjuk,-7.6051,111.9035,27.68,56,64,4.34,ID,1694136590
229,el obeid,13.1842,30.2167,27.76,64,100,5.8,SD,1694136591
230,portland,45.5234,-122.6762,24.44,50,40,4.12,US,1694136139
231,kruisfontein,-34.0033,24.7314,10.42,85,100,1.3,ZA,1694136591
232,swift current,50.2834,-107.8014,19.45,37,0,3.09,CA,1694136503
233,marand,38.4329,45.7749,19.51,60,0,1.31,IR,1694136592
234,ola,59.5833,151.2833,16.19,70,12,1.92,RU,1694136593
235,anadyr,64.75,177.4833,9.28,66,0,7.0,RU,1694136593
236,pont rouge,48.8833,-72.0825,19.06,97,57,0.58,CA,1694136594
237,torres,-29.3353,-49.7269,22.7,85,86,5.86,BR,1694136594
238,fortaleza,-3.7227,-38.5247,27.34,78,75,7.2,BR,1694136594
239,nova petropolis,-29.3764,-51.1144,19.17,92,100,2.82,BR,1694136595
240,brookings,44.3114,-96.7984,19.54,66,75,2.06,US,1694136595
241,dakhla,23.6848,-15.958,21.74,88,81,5.56,EH,1694136596
242,vilyuysk,63.7553,121.6247,3.91,71,80,2.72,RU,1694136596
243,al khawr,25.7667,51.3167,31.7,72,0,2.66,QA,1694136597
244,orda,57.1951,56.9091,11.02,97,100,1.83,RU,1694136597
245,nabire,-3.3667,135.4833,29.71,68,65,1.23,ID,1694136597
246,champerico,14.3,-91.9167,29.04,75,49,3.79,GT,1694136598
247,uvira,-3.4067,29.1458,23.16,81,87,1.68,CD,1694136598
248,torquay,50.4638,-3.5143,18.81,93,100,0.85,GB,1694136599
249,sanya,18.2431,109.505,28.09,89,40,1.0,CN,1694136457
250,las khorey,11.1595,48.1967,30.42,67,1,1.77,SO,1694136599
251,dzhalagash,45.0833,64.6667,15.9,51,9,3.19,KZ,1694136600
252,new norfolk,-42.7826,147.0587,16.6,37,11,3.28,AU,1694136601
253,jalal-abad,40.9333,73.0,21.8,25,100,2.26,KG,1694136601
254,kununurra,-15.7667,128.7333,29.99,48,4,2.57,AU,1694136602
255,kalmunai,7.4167,81.8167,26.97,72,99,3.41,LK,1694136603
256,kencong,-8.2833,113.3667,27.23,61,37,1.7,ID,1694136604
257,kabalo,-6.05,26.9167,23.5,73,28,1.28,CD,1694136604
258,durres,41.3231,19.4414,18.1,57,76,4.53,AL,1694136605
259,linqiong,30.4159,103.4609,25.9,79,83,0.13,CN,1694136606
260,proletarsk,46.7031,41.7192,12.11,53,0,3.15,RU,1694136607
261,santa marta,11.2408,-74.199,29.03,74,75,2.06,CO,1694136379
262,puerto armuelles,8.2833,-82.8667,26.72,84,100,0.45,PA,1694136511
263,orchard homes,46.8633,-114.0484,22.38,56,59,0.45,US,1694136608
264,novodvinsk,64.4165,40.8122,3.94,97,6,2.24,RU,1694136608
265,paracatu,-17.2222,-46.8747,23.1,40,0,4.48,BR,1694136323
266,coyhaique,-45.5752,-72.0662,6.34,87,20,2.06,CL,1694136610
267,bazarak,35.3129,69.5152,16.92,33,0,3.38,AF,1694136610
268,xining,36.6167,101.7667,12.75,91,100,0.42,CN,1694136610
269,christchurch,-43.5333,172.6333,16.9,74,75,5.66,NZ,1694136430
270,liuli,-11.0833,34.6333,24.16,59,35,2.69,TZ,1694136612
271,moyale,3.5167,39.0584,20.1,71,97,5.11,KE,1694136612
272,al jahra',29.3375,47.6581,32.57,59,0,1.26,KW,1694136612
273,utraula,27.3167,82.4167,25.82,89,100,3.04,IN,1694136613
274,luderitz,-26.6481,15.1594,15.53,54,8,1.67,NA,1694136613
275,melitopol,46.8422,35.3731,13.67,43,0,3.8,UA,1694136614
276,chartres,48.4167,1.5,21.69,69,100,1.65,FR,1694136614
277,mili,6.0815,171.735,29.18,73,11,6.0,MH,1694136615
278,coahuayana de hidalgo,18.7,-103.6583,26.73,84,100,1.63,MX,1694136615
279,kolonia town,6.964,158.206,32.0,70,75,4.12,FM,1694136616
280,duverge,18.3784,-71.5247,26.16,90,52,0.53,DO,1694136616
281,kyzyl-mazhalyk,51.1333,90.6,11.08,60,28,0.74,RU,1694136617
282,moose jaw,50.4001,-105.5344,19.14,37,14,3.6,CA,1694136617
